Type1 Type1 0.0000000001
Type2 Type1 11.57
Type3 Type1 14.10
Type4 Type1 12.94
Type5 Type1 11.00
Type6 Type1 6.10
Type7 Type1 17.56
Type8 Type1 12.43
Type9 Type1 10.88
Type10 Type1 16.43
Type11 Type1 4.65
Type12 Type1 5.12
Type3 Type2 15.09
Type4 Type2 19.02
Type5 Type2 15.24
Type6 Type2 4.10
Type7 Type2 20.68
Type8 Type2 16.56
Type9 Type2 16.98
Type10 Type2 13.17
Type11 Type2 9.79
Type12 Type2 10.96
Type4 Type3 15.05
Type5 Type3 17.10
Type6 Type3 10.67
Type7 Type3 15.40
Type8 Type3 15.58
Type9 Type3 14.00
Type10 Type3 16.31
Type11 Type3 4.54
Type12 Type3 10.16
Type5 Type4 16.24
Type6 Type4 6.42
Type7 Type4 17.25
Type8 Type4 19.25
Type9 Type4 16.44
Type10 Type4 14.31
Type11 Type4 8.15
Type12 Type4 10.61
Type6 Type5 5.47
Type7 Type5 15.54
Type8 Type5 17.88
Type9 Type5 14.29
Type10 Type5 14.68
Type11 Type5 8.68
Type12 Type5 12.55
Type7 Type6 7.24
Type8 Type6 8.50
Type9 Type6 5.0
Type10 Type6 5.71
Type11 Type6 3.33
Type12 Type6 3.91
Type8 Type7 17.30
Type9 Type7 15.57
Type10 Type7 17.19
Type11 Type7 7.94
Type12 Type7 10.72
Type9 Type8 23.26
Type10 Type8 14.17
Type11 Type8 6.79
Type12 Type8 11.00
Type10 Type9 11.52
Type11 Type9 6.29
Type12 Type9 11.75
Type11 Type10 7.55
Type12 Type10 7.25
Type12 Type11 7.27
